REF_DATE,GEO,DGUID,Vehicle type,Origin of manufacture,Sales,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1961-12,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,25994.0,,,,0
1962-01,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,30833.0,,,,0
1962-02,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,27973.0,,,,0
1962-03,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,42462.0,,,,0
1962-04,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,44586.0,,,,0
1962-05,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,53502.0,,,,0
1962-06,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,44148.0,,,,0
1962-07,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,33336.0,,,,0
1962-08,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,24523.0,,,,0
1962-09,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,13847.0,,,,0
1962-10,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,35960.0,,,,0
1962-11,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,39332.0,,,,0
1962-12,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,36625.0,,,,0
1963-01,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,34558.0,,,,0
1963-02,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,36604.0,,,,0
1963-03,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,44736.0,,,,0
1963-04,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,57355.0,,,,0
1963-05,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,57791.0,,,,0
1963-06,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,53033.0,,,,0
1963-07,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,37584.0,,,,0
1963-08,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,25827.0,,,,0
1963-09,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,20188.0,,,,0
1963-10,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,44632.0,,,,0
1963-11,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,50636.0,,,,0
1963-12,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,43367.0,,,,0
1964-01,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,41509.0,,,,0
1964-02,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,42548.0,,,,0
1964-03,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,55077.0,,,,0
1964-04,Canada,2016A000011124,Passenger cars,North America,Units,Unadjusted,Units,300,units,0,v42169923,1.2.2.1.1,61283.0,,,,0
